,latitude,longitude,free_bikes,empty_slots,avg_distance,total_bikes
0,24.451202,54.33451,2,4,2441.9166666666665,6
1,24.456953,54.6157541,3,12,4332.770833333333,15
2,24.465954,54.5983051,4,2,3408.0833333333335,6
3,24.486103,54.350087,3,6,2580.8979591836733,9
4,24.452079,54.604651,1,2,4291.729166666667,3
5,24.465793,54.60961,1,3,3422.2291666666665,4
6,24.46568,54.328189,6,6,1892.936170212766,12
7,24.465272,54.328835,2,3,1878.0,5
8,24.4301018,54.6222247,2,4,5460.285714285715,6
9,24.471234,54.323041,2,8,2179.4666666666667,10
10,24.496565,54.408766,1,8,3720.3061224489797,9
11,24.495664,54.358364,1,13,2050.387755102041,14
12,24.4736005,54.3411577,3,11,2481.9791666666665,14
13,24.485254,54.608061,1,6,1959.6521739130435,7
14,24.493276,54.408307,2,3,3831.5510204081634,5
15,24.456118,54.318692,2,7,2639.68085106383,9
16,24.496235,54.373636,1,13,1756.0416666666667,14
17,24.5195,54.367972,2,6,2846.408163265306,8
18,24.49209,54.366101,2,12,1695.6530612244899,14
19,24.450142,54.6052761,2,9,4395.9375,11
20,24.498709,54.368072,1,8,1697.6734693877552,9
21,24.507333,54.3763,1,9,2006.591836734694,10
22,24.48809,54.356111,6,1,2133.4285714285716,7
